ID,Yr first seen,Calves,Calves,Calves,Interval 1,Interval 2,
AI10124,2007,2007,2010,2013,3,3,
AI10070,2008,2008,2010,2013,2,3,
AI10086,2007,2007,2010,2013,3,3,
AI08340,2008,2008,2011,,3,,
AI08341,2008,2008,2011,,3,,
AI08355,2008,2008,2011,,3,,
AI08362,2008,2008,2011,,3,,
AI08365,2008,2008,2011,,3,,
AI08372,2008,2008,2011,,3,,
AI08383,2008,2008,2011,,3,,
AI08395,2008,2008,2011,,3,,
AI08403,2008,2008,2011,,3,,
AI11408,2008,2008,2011,,3,,
AI08379,2008,2008,2011,2013,3,2,
AI09216,2009,2009,2011,,2,,
AI06022,2006,2006,2012,,6,,
AI08364,2008,2008,2012,,4,,
AI08378,2008,2008,2012,,4,,
AI08386,2008,2008,2012,,4,,
AI08387,2008,2008,2012,,4,,
AI08390,2008,2008,2012,,4,,
AI09217,2009,2009,2012,,3,,
AI09224,2009,2009,2012,,3,,
AI09225,2009,2009,2012,,3,,
AI09247,2009,2009,2012,,3,,
AI10085,2007,2007,2013,,6,,
AI08343,2008,2008,2013,,5,,
AI10056,2008,2010,2013,,3,,
AI09221,2009,2009,2013,,4,,
AI09249,2009,2009,2013,,4,,
AI09259,2009,2009,2013,,4,,
AI09265,2009,2009,2013,,4,,
AI09289,2009,2009,2013,,4,,
AI10043,2010,2010,2013,,3,,
AI10102,2010,2010,2013,,3,,
AI10144,2010,2010,2013,,3,,
AI10160,2010,2010,2013,,3,,
AI10167,2010,2010,2013,,3,,
AI10170,2010,2010,2013,,3,,
AI10177,2010,2010,2013,,3,,
AI11430,2011,2011,2013,,2,,
